sol,month,min_temp,max_temp
1408,7,-75,-10
1407,7,-74,-9
1406,7,-76,-9
1405,7,-75,-2
1404,7,-75,-10
1403,7,-75,-9
1402,7,-75,-11
1401,7,-73,-4
1400,7,-73,3
1399,7,-73,1
1398,7,-66,3
1388,6,-73,4
1387,6,-74,2
1386,6,-74,-1
1385,6,-75,-3
1384,6,-74,2
1383,6,-73,3
1382,6,-76,-4
1381,6,-73,-8
1380,6,-74,-7
1379,6,-77,-7
1378,6,-76,1
1377,6,-76,1
1376,6,-75,0
1375,6,-73,-2
1374,6,-75,-5
1373,6,-74,-3
1372,6,-74,-4
1371,6,-75,-2
1370,6,-74,-1
1369,6,-73,1
1368,6,-74,-16
1367,6,-74,-14
1366,6,-75,-15
1365,6,-74,-15
1364,6,-74,-16
1363,6,-75,-14
1362,6,-74,-17
1361,6,-75,-16
1360,6,-76,-16
1359,6,-76,-13
1358,6,-74,-16
1357,6,-72,-16
1356,6,-74,-5
1355,6,-75,-11
1354,6,-75,-5
1353,6,-76,-6
1352,6,-73,-6
1351,6,-72,-12
1350,6,-73,-9
1349,6,-73,-9
1348,6,-76,-15
1347,6,-75,-16
1346,6,-75,-16
1345,6,-75,-19
1344,6,-75,-14
1343,6,-74,-8
1342,6,-80,-7
1341,6,-76,-9
1340,6,-76,-15
1339,6,-77,-18
1338,6,-75,-18
1337,6,-76,-13
1336,5,-75,-12
1335,5,-77,-10
1334,5,-77,-12
1333,5,-76,-18
1332,5,-78,-11
1331,5,-76,-19
1330,5,-78,-14
1329,5,-74,-15
1328,5,-77,-12
1327,5,-76,-11
1326,5,-77,-15
1325,5,-78,-14
1324,5,-78,-9
1323,5,-77,-11
1322,5,-78,-10
1321,5,-77,-15
1320,5,-77,-11
1319,5,-78,-8
1318,5,-80,-15
1317,5,-80,-15
1316,5,-80,-20
1315,5,-77,-14
1314,5,-78,-14
1313,5,-77,-14
1312,5,-77,-12
1311,5,-78,-11
1310,5,-76,-15
1309,5,-81,-19
1308,5,-81,-23
1307,5,-80,-27
1306,5,-79,-23
1305,5,-80,-21
1304,5,-80,-22
1303,5,-78,-26
1302,5,-80,-24
1301,5,-78,-20
1300,5,-79,-16
1299,5,-80,-19
1298,5,-79,-17
1297,5,-80,-24
1296,5,-79,-25
1295,5,-79,-20
1294,5,-79,-16
1293,5,-81,-21
1292,5,-81,-22
1291,5,-80,-21
1288,5,-80,-16
1287,5,-80,-18
1286,5,-80,-19
1285,5,-80,-13
1284,5,-80,-21
1283,5,-82,-20
1282,5,-81,-16
1281,5,-83,-22
1280,5,-84,-23
1279,5,-83,-29
1278,5,-83,-29
1277,5,-84,-28
1276,4,-83,-20
1275,4,-82,-17
1274,4,-82,-17
1273,4,-79,-19
1272,4,-81,-23
1271,4,-84,-22
1270,4,-82,-18
1269,4,-83,-17
1268,4,-83,-24
1267,4,-83,-24
1266,4,-82,-27
1265,4,-81,-28
1264,4,-84,-27
1263,4,-84,-29
1262,4,-81,-29
1261,4,-81,-25
1260,4,-83,-23
1259,4,-84,-25
1258,4,-83,-23
1257,4,-84,-21
1256,4,-84,-27
1255,4,-84,-25
1254,4,-84,-29
1253,4,-85,-26
1252,4,-85,-31
1251,4,-85,-27
1250,4,-85,-28
1249,4,-85,-32
1248,4,-86,-23
1247,4,-85,-25
1246,4,-85,-25
1245,4,-86,-26
1244,4,-85,-26
1243,4,-86,-26
1242,4,-87,-26
1241,4,-87,-28
1240,4,-87,-24
1239,4,-89,-26
1238,4,-87,-26
1237,4,-88,-29
1236,4,-87,-26
1235,4,-88,-28
1234,4,-88,-26
1233,4,-88,-27
1232,4,-88,-28
1231,4,-88,-26
1230,4,-88,-26
1229,4,-88,-26
1228,4,-88,-28
1227,4,-88,-26
1226,4,-87,-24
1225,4,-87,-28
1224,4,-88,-29
1223,4,-88,-26
1222,4,-87,-28
1221,4,-87,-28
1220,4,-87,-28
1219,4,-87,-27
1218,4,-86,-32
1217,4,-88,-27
1216,4,-86,-28
1215,4,-85,-27
1214,4,-85,-24
1213,4,-84,-27
1212,3,-86,-28
1211,3,-83,-22
1210,3,-85,-23
1209,3,-85,-24
1208,3,-85,-24
1207,3,-85,-25
1206,3,-85,-24
1205,3,-86,-26
1204,3,-84,-25
1203,3,-85,-23
1202,3,-85,-22
1201,3,-85,-29
1200,3,-84,-27
1199,3,-86,-29
1198,3,-86,-23
1197,3,-85,-26
1196,3,-86,-27
1195,3,-86,-32
1194,3,-84,-29
1193,3,-84,-28
1192,3,-86,-24
1191,3,-87,-28
1190,3,-87,-29
1189,3,-87,-24
1188,3,-90,-31
1187,3,-84,-29
1186,3,-86,-28
1185,3,-84,-24
1184,3,-85,-28
1183,3,-86,-26
1182,3,-85,-29
1181,3,-86,-24
1180,3,-86,-27
1179,3,-85,-25
1178,3,-86,-26
1177,3,-84,-27
1176,3,-84,-31
1175,3,-85,-23
1174,3,-85,-25
1173,3,-87,-31
1172,3,-87,-26
1171,3,-87,-29
1170,3,-85,-31
1169,3,-89,-32
1168,3,-84,-29
1167,3,-84,-25
1166,3,-84,-31
1165,3,-84,-35
1164,3,-86,-35
1163,3,-86,-29
1162,3,-84,-27
1161,3,-83,-26
1160,3,-80,-28
1159,3,-82,-28
1158,3,-82,-28
1157,3,-82,-32
1156,3,-84,-30
1155,3,-84,-26
1154,3,-84,-29
1153,3,-82,-31
1152,3,-80,-30
1151,3,-82,-31
1150,3,-82,-29
1149,3,-81,-23
1148,3,-80,-28
1147,3,-80,-29
1146,3,-82,-28
1145,2,-82,-29
1144,2,-82,-28
1143,2,-82,-29
1142,2,-82,-23
1141,2,-82,-28
1140,2,-81,-26
1139,2,-80,-25
1138,2,-82,-29
1137,2,-81,-26
1136,2,-82,-23
1135,2,-81,-27
1134,2,-80,-27
1133,2,-82,-26
1132,2,-82,-27
1131,2,-81,-28
1130,2,-81,-25
1129,2,-80,-23
1128,2,-79,-27
1127,2,-80,-27
1126,2,-79,-21
1125,2,-79,-22
1124,2,-80,-26
1123,2,-79,-27
1122,2,-79,-26
1121,2,-81,-25
1120,2,-80,-24
1119,2,-81,-22
1118,2,-80,-25
1117,2,-79,-25
1116,2,-79,-26
1115,2,-80,-21
1114,2,-79,-25
1113,2,-79,-24
1112,2,-80,-24
1111,2,-79,-26
1110,2,-81,-25
1109,2,-82,-26
1108,2,-78,-25
1107,2,-79,-24
1106,2,-82,-22
1105,2,-78,-25
1104,2,-79,-25
1103,2,-81,-26
1102,2,-84,-25
1101,2,-80,-23
1100,2,-79,-22
1099,2,-78,-24
1098,2,-77,-26
1097,2,-78,-27
1096,2,-79,-24
1095,2,-79,-24
1094,2,-80,-20
1093,2,-77,-21
1092,2,-79,-23
1091,2,-77,-21
1090,2,-78,-20
1089,2,-76,-19
1088,2,-77,-19
1087,2,-78,-19
1086,2,-77,-25
1085,2,-79,-23
1084,2,-78,-22
1083,2,-80,-20
1082,2,-79,-17
1081,2,-77,-18
1080,1,-77,-17
1079,1,-80,-21
1078,1,-80,-18
1077,1,-79,-16
1076,1,-81,-14
1075,1,-77,-13
1074,1,-77,-14
1073,1,-82,-15
1072,1,-78,-15
1071,1,-78,-16
1070,1,-80,-14
1069,1,-77,-22
1068,1,-76,-23
1067,1,-79,-24
1066,1,-78,-14
1065,1,-78,-19
1064,1,-77,-22
1063,1,-79,-19
1062,1,-77,-24
1061,1,-77,-23
1060,1,-78,-16
1059,1,-78,-20
1058,1,-78,-22
1057,1,-78,-22
1056,1,-76,-21
1055,1,-77,-20
1054,1,-77,-11
1053,1,-79,-11
1052,1,-78,-12
1051,1,-76,-20
1050,1,-76,-22
1049,1,-75,-21
1048,1,-78,-15
1047,1,-77,-14
1046,1,-77,-12
1045,1,-80,-13
1044,1,-79,-20
1043,1,-77,-20
1042,1,-76,-20
1041,1,-77,-22
1040,1,-77,-21
1039,1,-77,-21
1038,1,-76,-21
1037,1,-80,-21
1036,1,-76,-17
1035,1,-77,-12
1034,1,-76,-14
1033,1,-77,-14
1032,1,-74,-16
1031,1,-76,-15
1030,1,-77,-15
1029,1,-75,-14
1028,1,-75,-15
1026,1,-78,-16
1025,1,-74,-14
1024,1,-76,-15
1023,1,-76,-15
1022,1,-75,-12
1021,1,-76,-14
1020,1,-63,-12
1019,1,-81,-14
1018,12,-79,-15
